PERIODO,MES,TIPO,ENTIDAD,MONEDA,TC,RESULTADO_NETO
2025,Marzo,BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",ME,3.668,1295440.4625599997
2025,Marzo,BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",TOTAL,3.668,3395706.6186900004
2026,Marzo,BANCA MULTIPLE,Banco BBVA Perú,MN,3.4909999999999997,250510.66449
2026,Marzo,BANCA MULTIPLE,Banco BBVA Perú,ME,3.4909999999999997,472189.49522000004
2026,Marzo,BANCA MULTIPLE,Banco BBVA Perú,TOTAL,3.4909999999999997,722700.15971
2026,Marzo,BANCA MULTIPLE,BANCOM,MN,3.4909999999999997,7526.25351
2026,Marzo,BANCA MULTIPLE,BANCOM,ME,3.4909999999999997,1433.33974
2026,Marzo,BANCA MULTIPLE,BANCOM,TOTAL,3.4909999999999997,8959.59325
2026,Marzo,BANCA MULTIPLE,Banco de Crédito del Perú,MN,3.4909999999999997,1107783.37702
2026,Marzo,BANCA MULTIPLE,Banco de Crédito del Perú,ME,3.4909999999999997,841706.05761
2026,Marzo,BANCA MULTIPLE,Banco de Crédito del Perú,TOTAL,3.4909999999999997,1949489.43463
2026,Marzo,BANCA MULTIPLE,Banco Pichincha,MN,3.4909999999999997,3068.7922200000003
2026,Marzo,BANCA MULTIPLE,Banco Pichincha,ME,3.4909999999999997,8011.2779199999995
2026,Marzo,BANCA MULTIPLE,Banco Pichincha,TOTAL,3.4909999999999997,11080.07014
2026,Marzo,BANCA MULTIPLE,Banco Interamericano de Finanzas,MN,3.4909999999999997,5392.744809999999
2026,Marzo,BANCA MULTIPLE,Banco Interamericano de Finanzas,ME,3.4909999999999997,66351.22384
2026,Marzo,BANCA MULTIPLE,Banco Interamericano de Finanzas,TOTAL,3.4909999999999997,71743.96865000001
2026,Marzo,BANCA MULTIPLE,Scotiabank Perú,MN,3.4909999999999997,216053.11605
2026,Marzo,BANCA MULTIPLE,Scotiabank Perú,ME,3.4909999999999997,171221.23963999999
2026,Marzo,BANCA MULTIPLE,Scotiabank Perú,TOTAL,3.4909999999999997,387274.35569
2026,Marzo,BANCA MULTIPLE,Citibank,MN,3.4909999999999997,109537.62337
2026,Marzo,BANCA MULTIPLE,Citibank,ME,3.4909999999999997,-56316.751729999996
2026,Marzo,BANCA MULTIPLE,Citibank,TOTAL,3.4909999999999997,53220.87164
2026,Marzo,BANCA MULTIPLE,Interbank,MN,3.4909999999999997,349651.04573
2026,Marzo,BANCA MULTIPLE,Interbank,ME,3.4909999999999997,117679.43781999999
2026,Marzo,BANCA MULTIPLE,Interbank,TOTAL,3.4909999999999997,467330.48355
2026,Marzo,BANCA MULTIPLE,Mibanco,MN,3.4909999999999997,174045.85505
2026,Marzo,BANCA MULTIPLE,Mibanco,ME,3.4909999999999997,7935.4879
2026,Marzo,BANCA MULTIPLE,Mibanco,TOTAL,3.4909999999999997,181981.34295
2026,Marzo,BANCA MULTIPLE,Banco GNB,MN,3.4909999999999997,-4431.06435
2026,Marzo,BANCA MULTIPLE,Banco GNB,ME,3.4909999999999997,21909.23233
2026,Marzo,BANCA MULTIPLE,Banco GNB,TOTAL,3.4909999999999997,17478.167980000002
2026,Marzo,BANCA MULTIPLE,Banco Falabella Perú,MN,3.4909999999999997,103169.2299
2026,Marzo,BANCA MULTIPLE,Banco Falabella Perú,ME,3.4909999999999997,-25877.77091
2026,Marzo,BANCA MULTIPLE,Banco Falabella Perú,TOTAL,3.4909999999999997,77291.45899
2026,Marzo,BANCA MULTIPLE,Banco Santander Perú,MN,3.4909999999999997,-23990.31341
2026,Marzo,BANCA MULTIPLE,Banco Santander Perú,ME,3.4909999999999997,88058.41326
2026,Marzo,BANCA MULTIPLE,Banco Santander Perú,TOTAL,3.4909999999999997,64068.09985
2026,Marzo,BANCA MULTIPLE,Banco Ripley,MN,3.4909999999999997,38469.771609999996
2026,Marzo,BANCA MULTIPLE,Banco Ripley,ME,3.4909999999999997,-18447.01898
2026,Marzo,BANCA MULTIPLE,Banco Ripley,TOTAL,3.4909999999999997,20022.75263
2026,Marzo,BANCA MULTIPLE,Alfin Banco,MN,3.4909999999999997,11250.76952
2026,Marzo,BANCA MULTIPLE,Alfin Banco,ME,3.4909999999999997,-3147.63781
2026,Marzo,BANCA MULTIPLE,Alfin Banco,TOTAL,3.4909999999999997,8103.13171
2026,Marzo,BANCA MULTIPLE,Banco ICBC,MN,3.4909999999999997,2749.58447
2026,Marzo,BANCA MULTIPLE,Banco ICBC,ME,3.4909999999999997,8505.62369
2026,Marzo,BANCA MULTIPLE,Banco ICBC,TOTAL,3.4909999999999997,11255.20816
2026,Marzo,BANCA MULTIPLE,Bank of China,MN,3.4909999999999997,2886.35065
2026,Marzo,BANCA MULTIPLE,Bank of China,ME,3.4909999999999997,2136.9368999999997
2026,Marzo,BANCA MULTIPLE,Bank of China,TOTAL,3.4909999999999997,5023.28755
2026,Marzo,BANCA MULTIPLE,Banco BCI Perú,MN,3.4909999999999997,-32172.41595
2026,Marzo,BANCA MULTIPLE,Banco BCI Perú,ME,3.4909999999999997,56532.02509
2026,Marzo,BANCA MULTIPLE,Banco BCI Perú,TOTAL,3.4909999999999997,24359.60914
2026,Marzo,BANCA MULTIPLE,Compartamos Banco,MN,3.4909999999999997,90023.37862
2026,Marzo,BANCA MULTIPLE,Compartamos Banco,ME,3.4909999999999997,-6177.63224
2026,Marzo,BANCA MULTIPLE,Compartamos Banco,TOTAL,3.4909999999999997,83845.74638
2026,Marzo,BANCA MULTIPLE,Santander Consumer Bank,MN,3.4909999999999997,43880.31968
2026,Marzo,BANCA MULTIPLE,Santander Consumer Bank,ME,3.4909999999999997,-15941.47249
2026,Marzo,BANCA MULTIPLE,Santander Consumer Bank,TOTAL,3.4909999999999997,27938.84719
2026,Marzo,BANCA MULTIPLE,Total Banca Múltiple,MN,3.4909999999999997,2455405.082990001
2026,Marzo,BANCA MULTIPLE,Total Banca Múltiple,ME,3.4909999999999997,1737761.5068000006
