PRODUCTO,DEPARTAMENTO,P_PROMEDIO,P_MIN,P_MAX,P_SD,N_GRIFOS
GLP - G,LAMBAYEQUE,7.517280701754386,6.97,9.19,0.36979852224949505,114
GLP - G,LIMA,7.528805394990366,6.25,9.99,0.7076202155052435,519
GLP - G,LORETO,10,10,10,0,2
GLP - G,MADRE DE DIOS,12.5,12.5,12.5,0,1
GLP - G,MOQUEGUA,8.4725,8.29,8.7,0.16993696310270873,8
GLP - G,PASCO,8.81952380952381,7.75,11,0.9124389085877267,21
GLP - G,PIURA,8.965975609756098,8.39,10.88,0.42842479137756206,82
GLP - G,PUNO,9.99,9.99,9.99,0,1
GLP - G,SAN MARTIN,8.343170731707318,7.29,9,0.6625874999741175,41
GLP - G,TACNA,7.965172413793104,7.59,8.1,0.09241292000175758,29
GLP - G,TUMBES,9.829090909090908,9.5,10.5,0.2604785805188038,11
GLP - G,UCAYALI,11.858888888888888,10.09,13.5,1.0937029354953343,9
