PRODUCTO,DEPARTAMENTO,PROVINCIA,DISTRITO,P_PROMEDIO,P_MIN,P_MAX,P_SD,N_GRIFOS
GASOHOL PREMIUM,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,22.376956521739128,20.38,25.89,1.3467281388022965,23
GASOHOL REGULAR,CALLAO,CALLAO,BELLAVISTA,20.95,18.88,23.19,2.0823184194546243,5
GASOHOL REGULAR,CALLAO,CALLAO,CALLAO,20.39891891891892,18.82,24.89,1.477567038869761,37
GASOHOL REGULAR,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,23.75,23.75,23.75,0,1
GASOHOL REGULAR,CALLAO,CALLAO,LA PERLA,19.868333333333332,19.55,19.99,0.17371432487468136,6
GASOHOL REGULAR,CALLAO,CALLAO,LA PUNTA,23.59,23.59,23.59,0,1
GASOHOL REGULAR,CALLAO,CALLAO,VENTANILLA,19.945416666666667,19.1,22.99,0.8986268711891423,24
GASOHOL REGULAR,LIMA,LIMA,ANCON,20.036,19.6,21.49,0.8224536461102218,5
GASOHOL REGULAR,LIMA,LIMA,ATE,20.037758620689655,18.47,23.99,1.3927091396739653,58
GASOHOL REGULAR,LIMA,LIMA,BARRANCO,21.99,19.99,23.99,2,3
GASOHOL REGULAR,LIMA,LIMA,BREÑA,19.696666666666665,18.25,21.99,1.0541228581147453,9
GASOHOL REGULAR,LIMA,LIMA,CARABAYLLO,19.855121951219513,18.49,21.99,0.627766365582051,41
GASOHOL REGULAR,LIMA,LIMA,CHACLACAYO,20.075714285714284,18.89,23.15,1.4340020588415847,7
GASOHOL REGULAR,LIMA,LIMA,CHORRILLOS,21,19.77,23.99,1.4900512177703644,20
GASOHOL REGULAR,LIMA,LIMA,CIENEGUILLA,20.438,19.45,22.99,1.471893338526946,5
GASOHOL REGULAR,LIMA,LIMA,COMAS,20.1892,19,21.99,0.7422876800809777,25
GASOHOL REGULAR,LIMA,LIMA,EL AGUSTINO,21.19875,19.39,23.99,1.5321827334138138,8
GASOHOL REGULAR,LIMA,LIMA,INDEPENDENCIA,21.071666666666665,19.96,23.49,1.3206942618688593,12
GASOHOL REGULAR,LIMA,LIMA,JESUS MARIA,19.934444444444445,18.99,23.99,1.6202708964175645,9
GASOHOL REGULAR,LIMA,LIMA,LA MOLINA,22,19.79,23.99,1.3525438994723975,17
GASOHOL REGULAR,LIMA,LIMA,LA VICTORIA,20.443823529411763,18.65,23.99,1.606967810403187,34
GASOHOL REGULAR,LIMA,LIMA,LIMA,20.610294117647058,18.39,23.65,1.3484569976494627,34
GASOHOL REGULAR,LIMA,LIMA,LINCE,19.944,18.89,20.99,0.8830515273753845,5
GASOHOL REGULAR,LIMA,LIMA,LOS OLIVOS,20.416363636363638,18.15,21.99,0.9222671106445375,22
GASOHOL REGULAR,LIMA,LIMA,LURIGANCHO,19.843793103448274,18.07,21.99,0.9909173736388466,29
GASOHOL REGULAR,LIMA,LIMA,LURIN,19.377499999999998,17.84,21.99,1.0165529991102285,16
GASOHOL REGULAR,LIMA,LIMA,MAGDALENA DEL MAR,20.818571428571428,19.99,22.99,1.048354720048333,7
GASOHOL REGULAR,LIMA,LIMA,MIRAFLORES,22.845238095238095,19.99,25.89,1.6910577135261202,21
GASOHOL REGULAR,LIMA,LIMA,PACHACAMAC,19.940833333333334,18.27,21.49,0.7575013751362655,12
GASOHOL REGULAR,LIMA,LIMA,PUCUSANA,19.47,18.99,19.99,0.37013511046643494,5
GASOHOL REGULAR,LIMA,LIMA,PUEBLO LIBRE,21.046,19.95,24.39,1.6556381784006364,10
GASOHOL REGULAR,LIMA,LIMA,PUENTE PIEDRA,20.065555555555555,18.85,22.49,0.9878622347634283,27
GASOHOL REGULAR,LIMA,LIMA,PUNTA HERMOSA,18.99,18.99,18.99,0,1
GASOHOL REGULAR,LIMA,LIMA,RIMAC,20.231666666666666,19.99,20.99,0.39040577181525715,6
GASOHOL REGULAR,LIMA,LIMA,SAN BARTOLO,19.49,19.49,19.49,0,1
GASOHOL REGULAR,LIMA,LIMA,SAN BORJA,22.183,19.82,23.99,1.429312577585618,10
GASOHOL REGULAR,LIMA,LIMA,SAN ISIDRO,22.054499999999997,19.78,25.89,2.0221262259523294,20
GASOHOL REGULAR,LIMA,LIMA,SAN JUAN DE LURIGANCHO,19.996399999999998,18.29,22.99,1.0608905769807415,50
GASOHOL REGULAR,LIMA,LIMA,SAN JUAN DE MIRAFLORES,20.806874999999998,19.49,23.65,1.0921826388780709,16
GASOHOL REGULAR,LIMA,LIMA,SAN LUIS,20.098333333333333,18.99,22.75,1.341736437109266,6
GASOHOL REGULAR,LIMA,LIMA,SAN MARTIN DE PORRES,19.974054054054054,18.19,23.49,1.3171569961673328,37
GASOHOL REGULAR,LIMA,LIMA,SAN MIGUEL,20.53625,19.48,23.55,1.2107731689572028,16
GASOHOL REGULAR,LIMA,LIMA,SANTA ANITA,20.061818181818182,19.3,21.99,0.6934957560334186,11
GASOHOL REGULAR,LIMA,LIMA,SANTA ROSA,19.59,19.59,19.59,0,1
GASOHOL REGULAR,LIMA,LIMA,SANTIAGO DE SURCO,22.07185185185185,19.99,25.89,1.8549684572002774,27
GASOHOL REGULAR,LIMA,LIMA,SURQUILLO,21.336666666666666,20.29,23.99,0.998155875359731,12
GASOHOL REGULAR,LIMA,LIMA,VILLA EL SALVADOR,19.896071428571428,17.84,23.99,1.2513617450326728,28
GASOHOL REGULAR,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,20.931538461538462,19.25,23.89,1.14758073287309,26
GLP - G,CALLAO,CALLAO,BELLAVISTA,7.32,7.15,7.49,0.24041630560342606,2
GLP - G,CALLAO,CALLAO,CALLAO,7.437894736842106,6.95,9.49,0.5957122622669477,19
GLP - G,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,8.99,8.99,8.99,0,1
GLP - G,CALLAO,CALLAO,LA PERLA,7.944999999999999,7.55,8.35,0.43401228861250746,4
GLP - G,CALLAO,CALLAO,VENTANILLA,7.174375,6.89,7.99,0.3318627979552192,16
GLP - G,LIMA,LIMA,ANCON,8.89,8.89,8.89,0,2
GLP - G,LIMA,LIMA,ATE,7.325333333333333,6.45,8.99,0.44935765137646727,30
GLP - G,LIMA,LIMA,BARRANCO,7.92,7.91,7.93,0.014142135623730649,2
GLP - G,LIMA,LIMA,BREÑA,7.9625,6.99,8.59,0.6945202180882375,4
GLP - G,LIMA,LIMA,CARABAYLLO,6.819090909090909,6.55,7.49,0.19264843605235915,22
GLP - G,LIMA,LIMA,CHACLACAYO,6.975,6.49,7.33,0.406078810084939,4
GLP - G,LIMA,LIMA,CHORRILLOS,7.912,7.63,8.29,0.2439398833046095,10
GLP - G,LIMA,LIMA,CIENEGUILLA,8.073333333333334,7.74,8.49,0.3818813079129867,3
GLP - G,LIMA,LIMA,COMAS,7.0115384615384615,6.45,8.29,0.5581942038670493,13
GLP - G,LIMA,LIMA,EL AGUSTINO,8.156666666666666,7.49,8.99,0.7637626158259734,3
GLP - G,LIMA,LIMA,INDEPENDENCIA,6.954285714285715,6.74,7.5,0.2588343835259104,7
GLP - G,LIMA,LIMA,JESUS MARIA,8.362,8.05,8.79,0.3505994865940332,5
GLP - G,LIMA,LIMA,LA MOLINA,8.108181818181817,7.59,9.98,0.6639099062646707,11
GLP - G,LIMA,LIMA,LA VICTORIA,7.339285714285714,6.59,9.09,0.7812759202049319,28
GLP - G,LIMA,LIMA,LIMA,8.1944,7.69,8.99,0.3962225805444879,25
GLP - G,LIMA,LIMA,LINCE,8.99,8.99,8.99,0,1
GLP - G,LIMA,LIMA,LOS OLIVOS,7.111875,6.4,8.99,0.6096361619851631,16
GLP - G,LIMA,LIMA,LURIGANCHO,6.982380952380953,6.46,7.32,0.18896837729908061,21
GLP - G,LIMA,LIMA,LURIN,7.143636363636364,6.75,7.79,0.41076204126653987,11
GLP - G,LIMA,LIMA,MAGDALENA DEL MAR,8.556666666666667,8.19,8.99,0.40414518843273833,3
