TIPO,ENTIDAD,MONEDA,TC,RESULTADO_NETO
BANCA MULTIPLE,"Total Banca Múltiple 
Incluye Sucursales en el Exterior",TOTAL,3.4909999999999997,4193166.5897399997
EMPRESA FINANCIERA,Financiera Confianza,MN,3.4909999999999997,18861.90593
EMPRESA FINANCIERA,Financiera Confianza,ME,3.4909999999999997,60.62057
EMPRESA FINANCIERA,Financiera Confianza,TOTAL,3.4909999999999997,18922.5265
EMPRESA FINANCIERA,Financiera Efectiva,MN,3.4909999999999997,30664.102300000002
EMPRESA FINANCIERA,Financiera Efectiva,ME,3.4909999999999997,-2213.83135
EMPRESA FINANCIERA,Financiera Efectiva,TOTAL,3.4909999999999997,28450.27095
EMPRESA FINANCIERA,Financiera Qapaq,MN,3.4909999999999997,2484.5618999999997
EMPRESA FINANCIERA,Financiera Qapaq,ME,3.4909999999999997,3635.78524
EMPRESA FINANCIERA,Financiera Qapaq,TOTAL,3.4909999999999997,6120.34714
EMPRESA FINANCIERA,InFinance XP,MN,3.4909999999999997,27907.23671
EMPRESA FINANCIERA,InFinance XP,ME,3.4909999999999997,-20082.740449999998
EMPRESA FINANCIERA,InFinance XP,TOTAL,3.4909999999999997,7824.49626
EMPRESA FINANCIERA,Mitsui Auto Finance,MN,3.4909999999999997,16467.8669
EMPRESA FINANCIERA,Mitsui Auto Finance,ME,3.4909999999999997,5069.46317
EMPRESA FINANCIERA,Mitsui Auto Finance,TOTAL,3.4909999999999997,21537.33007
EMPRESA FINANCIERA,Financiera Proempresa,MN,3.4909999999999997,4152.55727
EMPRESA FINANCIERA,Financiera Proempresa,ME,3.4909999999999997,-905.55053
EMPRESA FINANCIERA,Financiera Proempresa,TOTAL,3.4909999999999997,3247.0067400000003
EMPRESA FINANCIERA,Financiera Surgir,MN,3.4909999999999997,1243.2703600000002
EMPRESA FINANCIERA,Financiera Surgir,ME,3.4909999999999997,-205.86359
EMPRESA FINANCIERA,Financiera Surgir,TOTAL,3.4909999999999997,1037.40677
EMPRESA FINANCIERA,Total Empresas Financieras,MN,3.4909999999999997,101781.50137
EMPRESA FINANCIERA,Total Empresas Financieras,ME,3.4909999999999997,-14642.11694
EMPRESA FINANCIERA,Total Empresas Financieras,TOTAL,3.4909999999999997,87139.38442999999
CAJAS MUNICIPALES,CMAC Arequipa,MN,3.4909999999999997,78939.77228
CAJAS MUNICIPALES,CMAC Arequipa,ME,3.4909999999999997,-15258.43666
CAJAS MUNICIPALES,CMAC Arequipa,TOTAL,3.4909999999999997,63681.335620000005
CAJAS MUNICIPALES,CMAC Cusco,MN,3.4909999999999997,72079.89268
CAJAS MUNICIPALES,CMAC Cusco,ME,3.4909999999999997,-4382.3497800000005
CAJAS MUNICIPALES,CMAC Cusco,TOTAL,3.4909999999999997,67697.5429
CAJAS MUNICIPALES,CMAC Del Santa,MN,3.4909999999999997,262.4972
CAJAS MUNICIPALES,CMAC Del Santa,ME,3.4909999999999997,-143.86766
CAJAS MUNICIPALES,CMAC Del Santa,TOTAL,3.4909999999999997,118.62954
CAJAS MUNICIPALES,CMAC Huancayo,MN,3.4909999999999997,91965.75229
CAJAS MUNICIPALES,CMAC Huancayo,ME,3.4909999999999997,-11365.24017
CAJAS MUNICIPALES,CMAC Huancayo,TOTAL,3.4909999999999997,80600.51212
CAJAS MUNICIPALES,CMAC Ica,MN,3.4909999999999997,21096.869899999998
CAJAS MUNICIPALES,CMAC Ica,ME,3.4909999999999997,-5754.368530000001
CAJAS MUNICIPALES,CMAC Ica,TOTAL,3.4909999999999997,15342.501369999998
CAJAS MUNICIPALES,CMAC Maynas,MN,3.4909999999999997,2821.20048
CAJAS MUNICIPALES,CMAC Maynas,ME,3.4909999999999997,-755.9054699999999
CAJAS MUNICIPALES,CMAC Maynas,TOTAL,3.4909999999999997,2065.29501
CAJAS MUNICIPALES,CMAC Paita,MN,3.4909999999999997,1199.26002
CAJAS MUNICIPALES,CMAC Paita,ME,3.4909999999999997,-21.320529999999998
CAJAS MUNICIPALES,CMAC Paita,TOTAL,3.4909999999999997,1177.93949
