PERIODO,MES,TIPO,ENTIDAD,MONEDA,TC,RESULTADO_NETO
2026,Marzo,BANCA MULTIPLE,Banco Falabella Perú,TOTAL,3.4909999999999997,77291.45899
2026,Marzo,BANCA MULTIPLE,Banco Santander Perú,MN,3.4909999999999997,-23990.31341
2026,Marzo,BANCA MULTIPLE,Banco Santander Perú,ME,3.4909999999999997,88058.41326
2026,Marzo,BANCA MULTIPLE,Banco Santander Perú,TOTAL,3.4909999999999997,64068.09985
2026,Marzo,BANCA MULTIPLE,Banco Ripley,MN,3.4909999999999997,38469.771609999996
2026,Marzo,BANCA MULTIPLE,Banco Ripley,ME,3.4909999999999997,-18447.01898
2026,Marzo,BANCA MULTIPLE,Banco Ripley,TOTAL,3.4909999999999997,20022.75263
2026,Marzo,BANCA MULTIPLE,Alfin Banco,MN,3.4909999999999997,11250.76952
2026,Marzo,BANCA MULTIPLE,Alfin Banco,ME,3.4909999999999997,-3147.63781
2026,Marzo,BANCA MULTIPLE,Alfin Banco,TOTAL,3.4909999999999997,8103.13171
2026,Marzo,BANCA MULTIPLE,Banco ICBC,MN,3.4909999999999997,2749.58447
2026,Marzo,BANCA MULTIPLE,Banco ICBC,ME,3.4909999999999997,8505.62369
2026,Marzo,BANCA MULTIPLE,Banco ICBC,TOTAL,3.4909999999999997,11255.20816
2026,Marzo,BANCA MULTIPLE,Bank of China,MN,3.4909999999999997,2886.35065
2026,Marzo,BANCA MULTIPLE,Bank of China,ME,3.4909999999999997,2136.9368999999997
2026,Marzo,BANCA MULTIPLE,Bank of China,TOTAL,3.4909999999999997,5023.28755
2026,Marzo,BANCA MULTIPLE,Banco BCI Perú,MN,3.4909999999999997,-32172.41595
2026,Marzo,BANCA MULTIPLE,Banco BCI Perú,ME,3.4909999999999997,56532.02509
2026,Marzo,BANCA MULTIPLE,Banco BCI Perú,TOTAL,3.4909999999999997,24359.60914
2026,Marzo,BANCA MULTIPLE,Compartamos Banco,MN,3.4909999999999997,90023.37862
2026,Marzo,BANCA MULTIPLE,Compartamos Banco,ME,3.4909999999999997,-6177.63224
2026,Marzo,BANCA MULTIPLE,Compartamos Banco,TOTAL,3.4909999999999997,83845.74638
2026,Marzo,BANCA MULTIPLE,Santander Consumer Bank,MN,3.4909999999999997,43880.31968
2026,Marzo,BANCA MULTIPLE,Santander Consumer Bank,ME,3.4909999999999997,-15941.47249
2026,Marzo,BANCA MULTIPLE,Santander Consumer Bank,TOTAL,3.4909999999999997,27938.84719
2026,Marzo,BANCA MULTIPLE,Total Banca Múltiple,MN,3.4909999999999997,2455405.082990001
2026,Marzo,BANCA MULTIPLE,Total Banca Múltiple,ME,3.4909999999999997,1737761.5068000006
2026,Marzo,BANCA MULTIPLE,Total Banca Múltiple,TOTAL,3.4909999999999997,4193166.58979
2026,Marzo,BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,MN,3.4909999999999997,1107783.37702
2026,Marzo,BANCA MULTIPLE,Banco de Crédito con Sucursales en el Exterior,ME,3.4909999999999997,841706.05756
